iter	Passed	Remaining
777	11975	3417
778	11990	3401
779	12005	3386
780	12019	3370
781	12033	3354
782	12047	3338
783	12061	3323
784	12075	3307
785	12088	3291
786	12103	3275
787	12117	3259
788	12131	3244
789	12146	3228
790	12160	3212
791	12175	3197
792	12189	3181
793	12203	3166
794	12217	3150
795	12231	3134
796	12246	3119
797	12260	3103
798	12274	3087
799	12288	3072
800	12302	3056
801	12316	3040
802	12331	3025
803	12345	3009
804	12359	2993
805	12373	2978
806	12387	2962
807	12401	2946
808	12414	2931
809	12428	2915
810	12442	2899
811	12458	2884
812	12472	2868
813	12486	2853
814	12510	2839
815	12537	2827
816	12558	2813
817	12578	2798
818	12594	2783
819	12612	2768
820	12631	2753
821	12645	2738
822	12660	2722
823	12676	2707
824	12690	2691
825	12705	2676
826	12719	2660
827	12749	2648
828	12764	2633
829	12779	2617
830	12793	2601
831	12807	2586
832	12821	2570
833	12836	2554
834	12850	2539
835	12864	2523
836	12878	2508
837	12892	2492
838	12922	2479
839	12947	2466
840	12962	2450
841	12976	2434
842	12989	2419
843	13005	2403
844	13019	2388
845	13033	2372
846	13047	2356
847	13061	2341
848	13075	2325
849	13089	2309
850	13119	2297
851	13140	2282
852	13155	2267
853	13169	2251
854	13183	2235
855	13197	2220
856	13211	2204
857	13226	2189
858	13240	2173
859	13255	2157
860	13269	2142
861	13283	2126
862	13297	2110
863	13311	2095
864	13326	2079
865	13340	2064
866	13354	2048
867	13368	2033
868	13382	2017
869	13399	2002
870	13417	1987
871	13442	1973
872	13457	1957
873	13472	1942
874	13486	1926
875	13501	1911
876	13515	1895
877	13529	1880
878	13544	1864
879	13558	1848
880	13572	1833
881	13586	1817
882	13606	1802
883	13620	1787
884	13634	1771
885	13648	1756
886	13661	1740
887	13675	1724
888	13689	1709
889	13703	1693
890	13717	1678
891	13731	1662
892	13745	1646
893	13760	1631
894	13773	1615
895	13787	1600
896	13800	1584
897	13814	1569
898	13828	1553
899	13842	1538
900	13856	1522
901	13870	1507
902	13884	1491
903	13899	1476
904	13913	1460
905	13927	1445
906	13941	1429
907	13955	1413
908	13970	1398
909	13984	1383
910	13998	1367
911	14013	1352
912	14027	1336
913	14041	1321
914	14055	1305
915	14069	1290
916	14083	1274
917	14096	1259
918	14110	1243
919	14124	1228
920	14138	1212
921	14152	1197
922	14166	1181
923	14180	1166
924	14194	1150
925	14208	1135
926	14221	1119
927	14236	1104
928	14249	1089
929	14263	1073
930	14277	1058
931	14291	1042
932	14304	1027
933	14319	1011
934	14333	996
935	14347	981
936	14361	965
937	14375	950
938	14389	934
939	14403	919
940	14417	903
941	14431	888
942	14445	873
943	14458	857
944	14474	842
945	14488	827
946	14501	811
947	14518	796
948	14532	780
949	14546	765
950	14560	750
951	14574	734
952	14587	719
953	14608	704
954	14622	689
955	14635	673
956	14649	658
957	14663	642
958	14684	627
959	14710	612
960	14734	597
961	14764	583
962	14780	567
963	14794	552
964	14808	537
965	14822	521
966	14836	506
967	14850	490
968	14865	475
969	14879	460
970	14893	444
971	14907	429
972	14922	414
973	14936	398
974	14950	383
975	14964	367
976	14979	352
977	14993	337
978	15006	321
979	15022	306
980	15036	291
981	15050	275
982	15064	260
983	15078	245
984	15092	229
985	15106	214
986	15120	199
987	15134	183
988	15148	168
989	15161	153
990	15176	137
991	15190	122
992	15203	107
993	15217	91
994	15231	76
995	15245	61
996	15259	45
997	15273	30
998	15287	15
999	15301	0
